Timestamp,NomeGrafo,NumVertices,NumK,Metodo,Raio,Centros,TempoRealMs,TempoRealFormatado,EstimativaSegundos,EstimativaFormatada,DiferencaEstimativaRealS,FatorPodaEstimado,TotalCombinacoes,NumCores,VelocidadeCalibradadOpsS,GapAproxVsExatoAbsoluto,GapAproxVsExatoPorcentagem
2026-06-21 17:17:33,pmed1.txt,100,5,APROXIMADO_MELHORADO,131,3;42;75;65;50,5,5 ms,,,,,,,,,
2026-06-21 17:17:33,pmed10.txt,200,67,APROXIMADO_MELHORADO,29,103;183;144;6;135;199;186;192;43;50;63;65;145;128;3;42;176;168;175;68;180;44;97;5;81;31;107;69;149;17;48;19;71;90;10;33;61;133;101;49;148;197;2;143;156;170;25;100;117;36;4;200;79;123;136;147;161;166;193;142;196;62;88;159;140;46;125,41,41 ms,,,,,,,,,
2026-06-21 17:17:33,pmed11.txt,300,5,APROXIMADO_MELHORADO,60,143;9;34;160;1,4,4 ms,,,,,,,,,
2026-06-21 17:17:33,pmed12.txt,300,10,APROXIMADO_MELHORADO,60,26;300;250;77;227;68;236;58;111;81,3,3 ms,,,,,,,,,
2026-06-21 17:17:33,pmed13.txt,300,30,APROXIMADO_MELHORADO,49,49;86;58;226;22;178;173;103;130;287;1;45;114;21;43;216;54;244;7;9;245;251;291;200;11;39;157;169;82;83,30,30 ms,,,,,,,,,
2026-06-21 17:17:33,pmed14.txt,300,60,APROXIMADO_MELHORADO,36,277;61;22;176;111;259;6;23;122;94;90;205;213;36;186;290;209;171;262;145;296;28;98;142;45;81;200;283;60;121;88;210;162;138;177;300;29;65;71;149;113;275;253;269;143;208;272;99;3;248;261;43;106;127;151;17;199;212;41;141,85,85 ms,,,,,,,,,
2026-06-21 17:17:33,pmed15.txt,300,100,APROXIMADO_MELHORADO,23,210;168;243;220;18;241;38;189;4;141;6;138;157;296;274;142;244;259;66;99;126;79;185;46;47;202;215;22;52;34;68;249;236;65;164;209;24;90;228;195;247;105;283;221;120;135;20;64;83;114;178;73;181;187;251;37;192;248;104;110;128;300;153;158;258;177;33;39;62;227;252;275;78;121;235;85;147;161;41;94;290;71;190;5;28;174;179;3;91;224;256;48;146;170;95;106;217;260;84;119,130,130 ms,,,,,,,,,
2026-06-21 17:17:33,pmed16.txt,400,5,APROXIMADO_MELHORADO,51,201;291;132;58;138,1,1 ms,,,,,,,,,
2026-06-21 17:17:33,pmed17.txt,400,10,APROXIMADO_MELHORADO,49,383;306;205;40;150;172;308;91;400;349,12,12 ms,,,,,,,,,
2026-06-21 17:17:33,pmed18.txt,400,40,APROXIMADO_MELHORADO,39,33;400;245;302;1;392;99;98;10;163;255;49;257;301;367;62;303;95;23;150;274;309;398;394;53;84;108;299;193;226;375;74;80;239;347;353;143;173;307;329,124,124 ms,,,,,,,,,
2026-06-21 17:17:33,pmed19.txt,400,80,APROXIMADO_MELHORADO,28,1;293;188;51;197;107;179;183;328;142;349;400;112;235;267;24;240;62;124;215;216;50;190;203;247;171;209;266;155;239;304;352;37;21;77;139;201;7;39;74;158;316;346;348;226;241;146;365;264;322;350;27;356;358;95;224;255;90;110;130;88;160;33;57;206;237;310;315;13;153;187;192;288;19;134;344;393;49;73;205,50,50 ms,,,,,,,,,
2026-06-21 17:17:33,pmed2.txt,100,10,APROXIMADO_MELHORADO,105,2;9;73;28;11;46;14;23;22;69,1,1 ms,,,,,,,,,
2026-06-21 17:17:34,pmed20.txt,400,133,APROXIMADO_MELHORADO,18,119;390;73;206;56;400;14;77;3;90;348;389;91;276;80;121;244;371;271;40;69;168;301;61;195;306;125;397;64;247;142;284;48;109;183;192;376;7;143;236;268;380;49;98;299;367;165;298;92;106;137;243;179;263;341;333;57;146;83;219;220;237;374;26;102;122;213;250;65;302;363;381;51;75;174;256;210;329;352;79;120;318;345;353;38;76;167;198;355;5;52;117;159;201;47;72;175;229;388;53;81;110;171;254;325;319;338;349;360;399;16;18;87;194;264;316;103;203;234;272;346;270;296;356;368;36;41;50;97;108;257;260;369,360,360 ms,,,,,,,,,
2026-06-21 17:17:34,pmed21.txt,500,5,APROXIMADO_MELHORADO,42,48;93;95;56;5,7,7 ms,,,,,,,,,
2026-06-21 17:17:34,pmed22.txt,500,10,APROXIMADO_MELHORADO,42,244;460;474;380;10;40;440;6;387;22,37,37 ms,,,,,,,,,
2026-06-21 17:17:34,pmed23.txt,500,50,APROXIMADO_MELHORADO,32,131;39;183;312;64;166;30;269;187;141;333;362;309;86;347;449;417;154;256;308;353;294;325;7;214;436;36;46;63;179;288;158;277;281;403;485;486;496;232;240;301;92;363;456;32;134;119;246;251;489,48,48 ms,,,,,,,,,
2026-06-21 17:17:34,pmed24.txt,500,100,APROXIMADO_MELHORADO,22,293;219;500;313;148;368;380;105;37;392;425;254;300;416;4;378;44;419;96;92;134;201;173;125;207;163;209;247;57;120;269;61;217;267;147;394;85;405;483;164;186;317;65;307;14;33;41;46;260;391;58;124;264;275;427;157;178;205;220;291;362;386;215;430;64;468;352;475;10;83;227;253;312;436;11;123;359;453;89;40;71;255;285;332;342;233;301;497;66;121;238;357;415;424;499;74;176;367;439;481,12,12 ms,,,,,,,,,
